OrganisationLabel,OrganisationalUnit,TransactionNumber,BeneficiaryName,ExpenseType,PaymentDate,Amount
Cheltenham Borough Council,R&M of Build - Routine,14035780,A & E Fire Equipment Limited,R2083-REC111,10/04/2015,521.76
Cheltenham Borough Council,R&M of Build - Routine,14035790,A & E Fire Equipment Limited,R2083-ADB101,10/04/2015,721.38
Cheltenham Borough Council,R&M of Build - Routine,14035805,A & E Fire Equipment Limited,R2083-ADB103,10/04/2015,1160.92
Cheltenham Borough Council,Building Works,14036124,A & E Fire Equipment Limited,C1107-CAH015,17/04/2015,1424.0
Cheltenham Borough Council,Building Works,14036408,A & E Fire Equipment Limited,C1107-CAH015,24/04/2015,1509.71
Cheltenham Borough Council,Building Works,14035931,A & E Fire Equipment Limited,C1107-CAH014,10/04/2015,2107.0
Cheltenham Borough Council,R & M of Build - Reactive Repairs,14036126,Adam Palk,R2008-OPS001,10/04/2015,980.0
Cheltenham Borough Council,Printing - Services,14036188,Alpha Colour Printers Limited,R4300-CCM001,17/04/2015,1282.0
Cheltenham Borough Council,Construction,14036345,AMPM247.com Limited,C1100-CAP106,24/04/2015,5224.66
Cheltenham Borough Council,Tenant Insurance Scheme Payments,14036171,AON Limited - Tenant Insurance,R9925-HRA901,17/04/2015,7189.65
Cheltenham Borough Council,Non Staff Advertising,14036036,Artful Limited,R4317-DEV001,10/04/2015,2869.36
Cheltenham Borough Council,Services - Fees and Charges,14036026,Athey Consulting Limited,R4401-PLP001,24/04/2015,2905.5
Cheltenham Borough Council,Agency Staff,14036050,B R G Interim Solutions Limited,R1100-BUC001,10/04/2015,1449.35
Cheltenham Borough Council,Agency Staff,14036217,B R G Interim Solutions Limited,R1100-BUC001,17/04/2015,1456.55
Cheltenham Borough Council,Agency Staff,14036216,B R G Interim Solutions Limited,R1100-BUC001,17/04/2015,1470.05
Cheltenham Borough Council,Agency Staff,14036266,B R G Interim Solutions Limited,R1100-BUC001,24/04/2015,1497.8
Cheltenham Borough Council,Agency Staff,14036267,B R G Interim Solutions Limited,R1100-BUC001,24/04/2015,1675.46
Cheltenham Borough Council,Agency Staff,14036049,B R G Interim Solutions Limited,R1100-BUC001,10/04/2015,1728.75
Cheltenham Borough Council,Agency Staff,14036218,B R G Interim Solutions Limited,R1100-BUC001,17/04/2015,1732.15
Cheltenham Borough Council,Consultancy Fees,14036154,Blackadder Media Limited,R4411-HLD130,10/04/2015,4200.0
Cheltenham Borough Council,Printing - Services,14036320,Bottomline Technologies Europe Limited (Security Print),R4300-SUP012,17/04/2015,1370.0
Cheltenham Borough Council,Building Works,14036135,Bowater Building Products Limited T/A Bowater Projects,C1107-CAH017,17/04/2015,82553.87
Cheltenham Borough Council,Open Spaces and Grassed Areas,14036150,Breedon Aggregates England Limited T/A Huntsmans Quarries,R2071-OPS002,10/04/2015,1581.45
Cheltenham Borough Council,Training Expenses,14036078,BUCKINGHAM FUTURES LIMITED,R1650-REG001,10/04/2015,1256.4
Cheltenham Borough Council,R & M of Build Cyclical Electrical Remedials,14036024,C F Roberts (Elect Contrs) plc,R2062-HRA100,10/04/2015,1026.23
Cheltenham Borough Council,R & M of Build Cyclical Electric Inspections,14036025,C F Roberts (Elect Contrs) plc,R2061-HRA100,10/04/2015,5222.0
Cheltenham Borough Council,R & M of Build Programmed,14035861,CAMTRAK (UK) LTD,R2004-CUL112,10/04/2015,2868.6
Cheltenham Borough Council,CCTV Staff,14036179,CDC Technical Services Limited,R4434-CCT001,17/04/2015,570.0
Cheltenham Borough Council,Subscriptions,14035913,CIPFA Business Limited,R4701-LTC001,10/04/2015,1090.0
Cheltenham Borough Council,Subscriptions,14035913,CIPFA Business Limited,R4701-HBA001,10/04/2015,2180.0
Cheltenham Borough Council,Agency Staff,14036359,CLAIRE CULLEN-JONES,R1100-PLP001,24/04/2015,1137.63
Cheltenham Borough Council,Agency Staff,14035865,Comensura Limited,R1100-CCM001,10/04/2015,2301.75
Cheltenham Borough Council,Mechanical Services,14035858,Complete Climate Solutions,R2080-CUL117,10/04/2015,520.84
Cheltenham Borough Council,Mechanical Services,14035833,Complete Climate Solutions,R2080-REC111,10/04/2015,538.13
